Model_name,Epoch,Target,Accuracy,Precision,Recall,F1_Score,True_Positive,True_Negative,False_Positive,False_Negative
mobilenet,1,Deepfakes,0.920833074550235,0.9882358707906476,0.8490629606232891,0.9133783355230372,20161,24318,240,3584
mobilenet,2,Deepfakes,0.972589694221891,0.9639915566408676,0.9808801853021689,0.9723625433139899,23291,23688,870,454
mobilenet,3,Deepfakes,0.918804215059106,0.9929868191992042,0.8407664771530848,0.9105587229190422,19964,24417,141,3781
mobilenet,4,Deepfakes,0.9583462724882512,0.9883600737045526,0.9261739313539693,0.9562570658318115,21992,24299,259,1753
mobilenet,5,Deepfakes,0.9571869242076062,0.9878910645959937,0.924236681406612,0.9550043516100958,21946,24289,269,1799
mobilenet,6,Deepfakes,0.9520733701840466,0.9684767401189227,0.9328700779111392,0.9503400047193085,22151,23837,721,1594
mobilenet,7,Deepfakes,0.940210752955303,0.9969028446180969,0.8811118130132659,0.9354377179647679,20922,24493,65,2823
mobilenet,8,Deepfakes,0.9506862927768461,0.923147011052569,0.9813855548536534,0.9513758471462399,23303,22618,1940,442
mobilenet,9,Deepfakes,0.8845827381322071,0.9979173517483284,0.766814066119183,0.8672334547879308,18208,24520,38,5537
mobilenet,10,Deepfakes,0.9357389810156719,0.9947744378925164,0.8738681827753211,0.9304098287149135,20750,24449,109,2995
mobilenet,1,Face2Face,0.9858437824454915,0.9861105453952996,0.9850272601513549,0.985568605100857,24210,25165,341,368
mobilenet,2,Face2Face,0.9868021723504512,0.9870087558542049,0.9860851167710961,0.9865467201270022,24236,25187,319,342
mobilenet,3,Face2Face,0.9514815110614169,0.995170810230728,0.9055252664984946,0.9482339908823655,22256,25398,108,2322
mobilenet,4,Face2Face,0.9822697867582462,0.9769286519568369,0.9871836601839044,0.9820293843849921,24263,24933,573,315
mobilenet,5,Face2Face,0.985444453318425,0.9964197993422422,0.973838392057938,0.9849996913516739,23935,25420,86,643
mobilenet,6,Face2Face,0.9701301812954237,0.9870442268737339,0.9516234030433721,0.969010233251854,23389,25199,307,1189
