Model_name,Epoch,Target,Accuracy,Precision,Recall,F1_Score,True_Positive,True_Negative,False_Positive,False_Negative
resnet,1,Deepfakes,0.97074715856158,0.988921972151677,0.9511476100231627,0.9696670459180388,22585,24305,253,1160
resnet,5,Deepfakes,0.970871374448792,0.9985270487412962,0.9421351863550221,0.9695117987388676,22371,24525,33,1374
resnet,10,Deepfakes,0.967621058733412,0.9716351265149904,0.9622236260265319,0.9669064748201439,22848,23891,667,897
resnet,1,Face2Face,0.9688722945451641,0.9680370867390509,0.9685491089592319,0.9682930301612804,23805,24720,786,773
resnet,5,Face2Face,0.985444453318425,0.9833407644602975,0.9870615998047034,0.9851976689882028,24260,25095,411,318
resnet,10,Face2Face,0.9770585416500279,0.9904131954619667,0.9625681503783872,0.9762921696069329,23658,25277,229,920
resnet,1,FaceShifter,0.9596217234343117,0.9770738467630172,0.943452494742879,0.9599688776502626,24676,24234,579,1479
resnet,5,FaceShifter,0.9528723905195416,0.9849728449507942,0.9222328426687058,0.9525708869757523,24121,24445,368,2034
resnet,10,FaceShifter,0.9603280489719039,0.9769933193659327,0.9449436054291722,0.9607012361035528,24715,24231,582,1440
resnet,1,FaceSwap,0.9508428801672693,0.9182975489264678,0.972972972972973,0.9448449451381931,19332,24325,1720,537
resnet,5,FaceSwap,0.9614061070697391,0.9285342173810087,0.9867632996124617,0.9567636150692953,19606,24536,1509,263
resnet,10,FaceSwap,0.956679879775232,0.9295598693061695,0.9736775882027279,0.9511073965733389,19346,24579,1466,523
resnet,1,NeuralTextures,0.7980071047163699,0.9382395850218836,0.5830269453538152,0.719162550865095,11576,24142,762,8279
resnet,5,NeuralTextures,0.9557407448781251,0.9361639824304538,0.9661042558549484,0.9508985004337588,19182,23596,1308,673
resnet,10,NeuralTextures,0.915972206707031,0.9167270844122216,0.8915638378242257,0.903970381718371,17702,23296,1608,2153
